FSC,NIIN,Nomenclature,part_number,cage_code,UI,Unit_Price,dss_weight,dss_cube,unit_pack_weight,unit_pack_cube,Imputed
2530,001379235,"DUMMY COUPLING,AUTO","2530001379235, 6170336, 220635, N13048A, GN-13048A, 128851B, 7411021, BW 220635, 140895H, AD2584, 213607, 67A219C42-1, MT10244P200-4, A297356, 11401, 1021AH, 5029209-134-101, 3HA872","A00AM, 19204, Z0757, 06721, 14892, 75Q65, 19207, 64678, 26051, 338X5, 06853, 16662, 30003, 63330, 63477, 23705, 98343, Z0655, 99696, 45152",EA,7.37,0.388,0.007,0.388,0.007,No
2530,002703878,"DUMMY COUPLING,AUTO","A26988, 4730PL1649830, 7014965, 913421, 5-520, 0301945, 2153685, 45000-257-02, N13048, 2530002703878, N-13048, 7411021, BX220636N, 8170-29-3, 17-13-2, 745-220635N, 3114154C1, 7749-12-5, 111228012, 59137DB, BW-220636, BB29136, 419 429 70 42, BB-29135, N-2804-A, 423M5, 7007-64, N-2804-B, R485, 224810, 220636N, 11402, 1023AH, 280061, 15650, TC15-466, 277994, 220635N, GN13048, 140135, 01358600A0, 140135H1, MN-13048, 23-G-78, 535910, 824587, 482598, 3029252-1, FR25199, 7338409, AD2583, 768TR, 29252, 26-150-133-003, HE2458, 388470, 44Z1035, 10A7127, 25E256, 25-E-056, 25-D-056, 60244-90106, 220636, SK-2700-7, 084-00483, 59QE13P3, R483","8E499, 59690, 0FW39, 9009H, 12472, 58275, 23862, 32MY9, 24617, 31245, SCY13, 06721, 19207, A00AM, 28606, 338X5, 81336, 60528, Z4117, 63734, 31007, 72869, 56442, 64678, 06853, 73265, 98343, 08683, 76040, 83120, 03677, Z0757, 81150, 29510, 44185, 0MKW7, 61790, 1CG77, 23705, 02280, 89926, 18990, 076M6, 05643, 16662, 45152, 92392, 35311, 65282, 27315, 95201, 62265, 7X677, 97384, Z2526, 0EAK3, 75Q65, 89346, 51501, Z4S43",EA,5.98,0.36,0.006,0.36,0.006,No
2530,008275934,"GOVERNOR ASSEMBLY,A","121PA1107-105, 121PA1107-015, 664760C91, TC15-1797, 69.MD000-1548, TC15-1080, 12P116, 4055284, 664760-C-91, 410986C92, KN18530, KN18511, 032126, 032112, 809741, 103187, 275707, 275707N, 276103, 275707-D2, 226363D, 9208529, 3455011","Z3107, 02280, 45152, 97907, 92679, 03677, Z07X0, 29510, 03533, 89926, 89346, 30379, 06721, 79146, 49185, 09348, 06853, 24617, 75Q65",EA,19.97,1.1,0.024,1.1,0.024,No
2530,011647954,STEERING WHEEL,"68-671, 79218, 81509, 81509A1, 81-509, 1348910, 13Z155, 81509B1G, 81509B1","77915, 75Q65, 27315, 58112, 45152, 1WVN7",EA,171.22,5.473,0.217,5.473,0.217,No
2530,014729728,BRAKE DRUM,"69658B, 12640917, 3002951","18889, 45152, 19207, 75Q65",EA,319.7,160,4.594,160,4.594,No
2530,014730184,"SHAFT,STEERING","3231089, PP1880.00.02, 3756072","45152, U7775, 75Q65",EA,396.37,15.254,0.703,15.254,0.703,No
2530,014746017,"DRYER ASSEMBLY,AIR","2064070, N4250A, DA33110X","75Q65, 06721, 45152",EA,296.5,22.95,1.212,22.95,1.212,No
2530,016755888,"MODIFICATION KIT,VE",4013132,75Q65,EA,2588.92,6,0.522,6,0.522,No
2540,004205036,"CORNER,BOW,VEHICULA","2540004205036, 10937879, 2910004672582","A00AM, 19207",EA,17.82,2.313,0.269,2.313,0.269,No
2540,011656136,"CHOCK,WHEEL-TRACK","1350250, CS-2540-0067","45152, 75Q65, 16236",EA,14.08,11.758,0.512,11.758,0.512,No
